original_id,short_id,accession,organism,country,year
"OR667647.1 Klebsiella pneumoniae strain FI-110223 subclass B1 metallo-beta-lactamase NDM-63 (blaNDM) gene, blaNDM-63 allele, complete cds",KpNDM_0001_Unknown_Unknown,OR667647.1,Unknown,Unknown,Unknown
"PX136048.1 Klebsiella pneumoniae strain PD163 subclass B1 metallo-beta-lactamase NDM-85 (blaNDM) gene, blaNDM-85 allele, complete cds",KpNDM_0002_Unknown_Unknown,PX136048.1,Unknown,Unknown,Unknown
"MZ419363.1 Klebsiella pneumoniae strain NKP75 subclass B1 metallo-beta-lactamase NDM-4 (blaNDM) gene, blaNDM-4 allele, complete cds",KpNDM_0003_Unknown_Unknown,MZ419363.1,Unknown,Unknown,Unknown
"MZ419362.1 Klebsiella pneumoniae strain NKP171 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0004_Unknown_Unknown,MZ419362.1,Unknown,Unknown,Unknown
"MZ419361.1 Klebsiella pneumoniae strain NKP170 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0005_Unknown_Unknown,MZ419361.1,Unknown,Unknown,Unknown
"MZ419360.1 Klebsiella pneumoniae strain NKP103 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0006_Unknown_Unknown,MZ419360.1,Unknown,Unknown,Unknown
"MZ419359.1 Klebsiella pneumoniae strain NKP62 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0007_Unknown_Unknown,MZ419359.1,Unknown,Unknown,Unknown
"MZ419358.1 Klebsiella pneumoniae strain NKP20 subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0008_Unknown_Unknown,MZ419358.1,Unknown,Unknown,Unknown
"MZ419357.1 Klebsiella pneumoniae strain NKP127 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0009_Unknown_Unknown,MZ419357.1,Unknown,Unknown,Unknown
"MZ419356.1 Klebsiella pneumoniae strain NKP100 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0010_Unknown_Unknown,MZ419356.1,Unknown,Unknown,Unknown
"MZ419355.1 Klebsiella pneumoniae strain NKP85 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0011_Unknown_Unknown,MZ419355.1,Unknown,Unknown,Unknown
"NZ_JBPTMF010000328.1 Klebsiella pneumoniae strain KP187 contig00329, whole genome shotgun sequence",KpNDM_0012_Unknown_Unknown,NZ_JBPTMF010000328.1,Unknown,Unknown,Unknown
"NG_049326.1 Klebsiella pneumoniae pKpANDM-1 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-1, complete CDS",KpNDM_0013_Unknown_Unknown,NG_049326.1,Unknown,Unknown,Unknown
"NG_049327.1 Klebsiella pneumoniae subsp. pneumoniae kpn/78 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-10, complete CDS",KpNDM_0014_Unknown_Unknown,NG_049327.1,Unknown,Unknown,Unknown
"KX249707.1 Klebsiella pneumoniae strain 2 beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0015_Unknown_Unknown,KX249707.1,Unknown,Unknown,Unknown
"KY074638.1 Klebsiella pneumoniae strain 12904 metallo-beta-lactamase NDM (blaNDM) gene, complete cds",KpNDM_0016_Unknown_Unknown,KY074638.1,Unknown,Unknown,Unknown
"MH450214.1 Klebsiella pneumoniae subclass B1 metallo-beta-lactamase NDM-23 (blaNDM) gene, blaNDM-23 allele, complete cds",KpNDM_0017_Unknown_Unknown,MH450214.1,Unknown,Unknown,Unknown
"NG_060570.1 Klebsiella pneumoniae 1631112 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-23, complete CDS",KpNDM_0018_Unknown_Unknown,NG_060570.1,Unknown,Unknown,Unknown
"MG773521.1 Klebsiella pneumoniae strain ASKNPKP2 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0019_Unknown_Unknown,MG773521.1,Unknown,Unknown,Unknown
"MG773522.1 Klebsiella pneumoniae strain ASKNPKP4 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0020_Unknown_Unknown,MG773522.1,Unknown,Unknown,Unknown
"MG773523.1 Klebsiella pneumoniae strain ASKNPKP5 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0021_Unknown_Unknown,MG773523.1,Unknown,Unknown,Unknown
"MG773524.1 Klebsiella pneumoniae strain ASKNPKP7 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0022_Unknown_Unknown,MG773524.1,Unknown,Unknown,Unknown
"MG773525.1 Klebsiella pneumoniae strain ASKNPKP8 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0023_Unknown_Unknown,MG773525.1,Unknown,Unknown,Unknown
"MG773526.1 Klebsiella pneumoniae strain ASKNPKP12 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0024_Unknown_Unknown,MG773526.1,Unknown,Unknown,Unknown
"MG773527.1 Klebsiella pneumoniae strain ASKNPKP13 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0025_Unknown_Unknown,MG773527.1,Unknown,Unknown,Unknown
"MG773528.1 Klebsiella pneumoniae strain ASKNPKP15 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0026_Unknown_Unknown,MG773528.1,Unknown,Unknown,Unknown
"MG773529.1 Klebsiella pneumoniae strain ASKNPKP17 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0027_Unknown_Unknown,MG773529.1,Unknown,Unknown,Unknown
"MG773530.1 Klebsiella pneumoniae strain ASKNPKP18 New Delhi metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0028_Unknown_Unknown,MG773530.1,Unknown,Unknown,Unknown
"MK263176.1 Klebsiella pneumoniae subsp. pneumoniae strain KP14B subclass B1 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0029_Unknown_Unknown,MK263176.1,Unknown,Unknown,Unknown
"MG701328.1 Klebsiella pneumoniae strain EK580 metallo-beta-lactamase NDM-1 (blaNDM) gene, blaNDM-1 allele, complete cds",KpNDM_0030_Unknown_Unknown,MG701328.1,Unknown,Unknown,Unknown
"MK425027.1 Klebsiella pneumoniae strain ASKPNKP1 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0031_Unknown_Unknown,MK425027.1,Unknown,Unknown,Unknown
"MK425028.1 Klebsiella pneumoniae strain ASKPNKP3 subclass B1 metallo-beta-lactamase NDM-5 (blaNDM) gene, blaNDM-5 allele, complete cds",KpNDM_0032_Unknown_Unknown,MK425028.1,Unknown,Unknown,Unknown
